asset_id,timestamp,model,response,has_pedestrian_railing_value,has_pedestrian_railing_confidence,parse_error
46496,2026-05-27T10:27:54.790587,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
47049,2026-05-27T10:28:03.024945,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
47050,2026-05-27T10:28:10.913883,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
47053,2026-05-27T10:28:19.775444,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
47054,2026-05-27T10:28:29.118746,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
47184,2026-05-27T10:28:37.449298,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",2 railings,1.0,
48269,2026-05-27T10:28:45.936592,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
48347,2026-05-27T10:28:54.736441,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
48394,2026-05-27T10:29:02.624142,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
48799,2026-05-27T10:29:10.495561,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
48937,2026-05-27T10:29:18.568893,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
49501,2026-05-27T10:29:26.291781,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
49525,2026-05-27T10:29:34.373238,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
